timestamp,elapsed_time,scanned_count,unscanned_count,total_count,scan_ratio,global_avg_entropy,global_scan_ratio,entropy_bins,entropy_hist,entropy_cdf,repulsion_coefficient,entropy_coefficient,distance_coefficient,leader_range_coefficient,direction_retention_coefficient,training_episode,training_step,step_reward,total_reward,UAV1_x,UAV1_y,UAV1_z,UAV1_roll,UAV1_pitch,UAV1_yaw,UAV2_x,UAV2_y,UAV2_z,UAV2_roll,UAV2_pitch,UAV2_yaw,UAV3_x,UAV3_y,UAV3_z,UAV3_roll,UAV3_pitch,UAV3_yaw,UAV1_battery_voltage,UAV2_battery_voltage,UAV3_battery_voltage
2026-01-28 20:07:36,1.01,4,384,388,1.03%,85.61,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1231, 7, 8, 363]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.7656540607563547, 0.7699938003719777, 0.7749535027898327, 1.0]",4.0,2.0,2.0,2.0,2.0,0,0,0.0000,0.0000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.555,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:37,2.01,4,384,388,1.03%,85.99,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1223, 14, 9, 363]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.7606943583384997, 0.7693738375697459, 0.7749535027898327, 1.0]",4.0,2.0,2.0,2.0,2.0,0,0,0.0000,0.0000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:38,3.02,4,386,390,1.03%,86.18,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1223, 14, 9, 363]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.7606943583384997, 0.7693738375697459, 0.7749535027898327, 1.0]",4.0,2.0,2.0,2.0,2.0,0,0,0.0000,0.0000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:39,4.02,4,386,390,1.03%,86.37,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1219, 14, 7, 369]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.7582145071295723, 0.7668939863608184, 0.7712337259764415, 1.0]",4.0,2.0,2.0,2.0,2.0,0,0,0.0000,0.0000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:40,5.03,0,352,352,0.00%,79.99,0.00%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,0,0,0.0000,0.0000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:41,6.03,4,348,352,1.14%,80.21,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,1,1,-30.1000,-30.1000,-10.000,1.590,-0.759,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.197,4.200,4.200
2026-01-28 20:07:42,7.03,0,352,352,0.00%,79.97,0.00%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1608, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,1,1,-30.1000,-30.1000,-10.000,1.567,-0.654,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-01-28 20:07:43,8.04,5,347,352,1.42%,80.00,0.31%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1608, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,2,2,-30.1000,-60.2000,-10.000,1.544,-0.144,0.00,0.00,0.00,-14.300,1.556,-0.590,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.197,4.197,4.200
2026-01-28 20:07:44,9.05,6,347,353,1.70%,80.29,0.37%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1607, 0, 0, 0]","[0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,2,17,-30.1000,-511.7000,-10.000,2.009,0.964,0.00,0.00,0.00,-14.300,1.523,-0.887,0.00,0.00,0.00,-20.110,1.556,-0.590,0.00,0.00,0.00,4.195,4.195,4.195
2026-01-28 20:07:45,10.05,6,347,353,1.70%,80.47,0.37%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1607, 0, 0, 0]","[0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0030998140111593306, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 0.0037197768133911966, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,2,33,-30.1000,-963.3000,-10.000,2.120,0.931,0.00,0.00,0.00,-14.115,1.548,-1.325,0.00,0.00,0.00,-20.110,1.848,-0.590,0.00,0.00,0.00,4.192,4.192,4.192
