episode,reward,length,scanned_cells,timestep
1,-30.10,1,5,1
2,-30.10,1,5,2
3,-30.10,1,5,3
4,-30.10,1,5,4
5,-30.10,1,5,5
6,-30.10,1,5,6
7,-30.10,1,5,7
8,-30.10,1,5,8
9,-30.10,1,5,9
10,-30.10,1,5,10
11,-30.10,1,5,11
12,-30.10,1,5,12
13,-30.10,1,5,13
14,-30.10,1,5,14
15,-30.10,1,5,15
16,-30.10,1,5,16
17,-30.10,1,5,17
18,-20.10,1,6,18
19,-20.10,1,6,19
20,-20.10,1,6,20
21,-30.10,1,6,21
22,-30.10,1,6,22
23,-30.10,1,6,23
24,-30.10,1,6,24
25,-30.10,1,6,25
26,-30.10,1,6,26
27,-30.10,1,6,27
28,-30.10,1,6,28
29,-30.10,1,6,29
30,-30.10,1,6,30
31,-30.10,1,6,31
32,-30.10,1,6,32
33,-30.10,1,6,33
34,-30.10,1,6,34
35,-30.10,1,6,35
36,-30.10,1,6,36
37,-30.10,1,6,37
38,-30.10,1,6,38
39,-30.10,1,6,39
40,-30.10,1,6,40
41,-30.10,1,6,41
42,-30.10,1,6,42
43,-30.10,1,6,43
44,-30.10,1,6,44
45,-30.10,1,6,45
46,-30.10,1,6,46
47,-30.10,1,6,47
48,-30.10,1,6,48
49,-30.10,1,6,49
50,-10.10,1,8,50
51,-10.10,1,8,51
52,-10.10,1,8,52
53,-30.10,1,8,53
54,-30.10,1,8,54
55,-30.10,1,8,55
56,-30.10,1,8,56
57,-30.10,1,8,57
58,-30.10,1,8,58
59,-30.10,1,8,59
60,-30.10,1,8,60
61,-30.10,1,8,61
62,-30.10,1,8,62
63,-30.10,1,8,63
64,-30.10,1,8,64
65,-30.10,1,8,65
66,-30.10,1,8,66
67,-30.10,1,8,67
68,-30.10,1,8,68
69,-30.10,1,8,69
70,-30.10,1,8,70
71,-30.10,1,8,71
72,-30.10,1,8,72
73,-30.10,1,8,73
74,-30.10,1,8,74
75,-20.10,1,9,75
76,-20.10,1,9,76
77,-20.10,1,9,77
78,-30.10,1,9,78
79,-30.10,1,9,79
80,-30.10,1,9,80
81,-30.10,1,9,81
82,-30.10,1,9,82
83,-30.10,1,9,83
84,-30.10,1,9,84
85,-30.10,1,9,85
86,-30.10,1,9,86
87,-30.10,1,9,87
88,-30.10,1,9,88
89,-30.10,1,9,89
90,-30.10,1,9,90
91,-30.10,1,9,91
92,-30.10,1,9,92
93,-30.10,1,9,93
94,-30.10,1,9,94
95,-30.10,1,9,95
96,-30.10,1,9,96
97,-30.10,1,9,97
98,-30.10,1,9,98
99,-30.10,1,9,99
100,-30.10,1,9,100
101,-30.10,1,9,101
102,-30.10,1,9,102
103,-30.10,1,9,103
104,-30.10,1,9,104
105,-30.10,1,9,105
106,-30.10,1,9,106
107,-30.10,1,9,107
108,-30.10,1,9,108
109,-30.10,1,9,109
110,-30.10,1,9,110
111,-30.10,1,9,111
112,-30.10,1,9,112
113,-30.10,1,9,113
114,-20.10,1,10,114
115,-20.10,1,10,115
116,-20.10,1,10,116
117,-30.10,1,10,117
118,-30.10,1,10,118
119,-30.10,1,10,119
120,-30.10,1,10,120
121,-30.10,1,10,121
122,-30.10,1,10,122
123,-30.10,1,10,123
124,-30.10,1,10,124
125,-30.10,1,10,125
126,-30.10,1,10,126
127,-30.10,1,10,127
128,-30.10,1,10,128
129,-30.10,1,10,129
130,-30.10,1,10,130
131,-30.10,1,10,131
132,-30.10,1,10,132
133,-30.10,1,10,133
134,-30.10,1,10,134
135,-30.10,1,10,135
136,-30.10,1,10,136
137,-30.10,1,10,137
138,-30.10,1,10,138
139,-30.10,1,10,139
140,-30.10,1,10,140
141,-30.10,1,10,141
142,-30.10,1,10,142
143,-30.10,1,10,143
144,-30.10,1,10,144
145,-30.10,1,10,145
146,-30.10,1,10,146
147,-30.10,1,10,147
148,-30.10,1,10,148
149,-30.10,1,10,149
150,-30.10,1,10,150
151,-30.10,1,10,151
152,-20.10,1,11,152
153,-20.10,1,11,153
154,-20.10,1,11,154
155,-30.10,1,11,155
156,-30.10,1,11,156
157,-30.10,1,11,157
158,-30.10,1,11,158
159,-30.10,1,11,159
160,-30.10,1,11,160
161,-30.10,1,11,161
162,-30.10,1,11,162
163,-30.10,1,11,163
164,-30.10,1,11,164
165,-30.10,1,11,165
166,-30.10,1,11,166
167,-30.10,1,11,167
168,-30.10,1,11,168
169,-30.10,1,11,169
170,-30.10,1,11,170
171,-30.10,1,11,171
172,-30.10,1,11,172
173,-30.10,1,11,173
174,-30.10,1,11,174
175,-30.10,1,11,175
176,-30.10,1,11,176
177,-10.10,1,13,177
178,-10.10,1,13,178
179,-10.10,1,13,179
180,-30.10,1,13,180
181,-30.10,1,13,181
182,-30.10,1,13,182
183,-30.10,1,13,183
184,-30.10,1,13,184
185,-30.10,1,13,185
186,-30.10,1,13,186
187,-30.10,1,13,187
188,-30.10,1,13,188
189,-30.10,1,13,189
190,-30.10,1,13,190
191,-30.10,1,13,191
192,-30.10,1,13,192
193,-30.10,1,13,193
194,-30.10,1,13,194
195,-30.10,1,13,195
196,-30.10,1,13,196
197,-30.10,1,13,197
198,-30.10,1,13,198
199,-30.10,1,13,199
200,-30.10,1,13,200
201,-30.10,1,13,201
202,-20.10,1,14,202
203,-20.10,1,14,203
204,-20.10,1,14,204
205,-30.10,1,14,205
206,-30.10,1,14,206
207,-30.10,1,14,207
208,-30.10,1,14,208
209,-30.10,1,14,209
210,-30.10,1,14,210
211,-30.10,1,14,211
212,-30.10,1,14,212
213,-30.10,1,14,213
214,-30.10,1,14,214
215,-30.10,1,14,215
216,-30.10,1,14,216
217,-30.10,1,14,217
218,-30.10,1,14,218
219,-30.10,1,14,219
220,-30.10,1,14,220
221,-30.10,1,14,221
222,-30.10,1,14,222
223,-30.10,1,14,223
224,-30.10,1,14,224
225,-30.10,1,14,225
226,-30.10,1,14,226
227,-30.10,1,14,227
228,-20.10,1,15,228
229,-20.10,1,15,229
230,-20.10,1,15,230
231,-30.10,1,15,231
232,-30.10,1,15,232
233,-30.10,1,15,233
234,-30.10,1,15,234
235,-30.10,1,15,235
236,-30.10,1,15,236
237,-30.10,1,15,237
238,-30.10,1,15,238
239,-30.10,1,15,239
240,-30.10,1,15,240
241,-30.10,1,15,241
242,-30.10,1,15,242
243,-30.10,1,15,243
244,-30.10,1,15,244
245,-30.10,1,15,245
246,-30.10,1,15,246
247,-30.10,1,15,247
248,-30.10,1,15,248
249,-30.10,1,15,249
250,-30.10,1,15,250
251,-30.10,1,15,251
252,-30.10,1,15,252
253,-30.10,1,15,253
254,-30.10,1,15,254
255,-30.10,1,15,255
256,-30.10,1,15,256
257,-30.10,1,15,257
258,-30.10,1,15,258
259,-30.10,1,15,259
260,-30.10,1,15,260
261,-30.10,1,15,261
262,-30.10,1,15,262
263,-30.10,1,15,263
264,-30.10,1,15,264
265,-30.10,1,15,265
266,-10.10,1,17,266
267,-10.10,1,17,267
268,-10.10,1,17,268
269,-30.10,1,17,269
270,-30.10,1,17,270
271,-30.10,1,17,271
272,-30.10,1,17,272
273,-30.10,1,17,273
274,-30.10,1,17,274
275,-30.10,1,17,275
276,-30.10,1,17,276
277,-30.10,1,17,277
278,-30.10,1,17,278
279,-30.10,1,17,279
280,-30.10,1,17,280
281,-30.10,1,17,281
282,-30.10,1,17,282
283,-30.10,1,17,283
284,-30.10,1,17,284
285,-30.10,1,17,285
286,-30.10,1,17,286
287,-30.10,1,17,287
288,-30.10,1,17,288
289,-30.10,1,17,289
290,-30.10,1,17,290
291,-30.10,1,17,291
292,-30.10,1,17,292
293,-30.10,1,17,293
294,-30.10,1,17,294
295,-30.10,1,17,295
296,-30.10,1,17,296
297,-30.10,1,17,297
298,-30.10,1,17,298
299,-30.10,1,17,299
300,-30.10,1,17,300
301,-30.10,1,17,301
302,-30.10,1,17,302
303,-30.10,1,17,303
304,-30.10,1,17,304
305,-30.10,1,17,305
306,-30.10,1,17,306
307,-30.10,1,17,307
308,-30.10,1,17,308
309,-30.10,1,17,309
310,-30.10,1,17,310
311,-30.10,1,17,311
312,-30.10,1,17,312
313,-30.10,1,17,313
314,-30.10,1,17,314
315,-30.10,1,17,315
316,-30.10,1,17,316
317,-30.10,1,17,317
318,-30.10,1,17,318
319,-30.10,1,17,319
320,-30.10,1,17,320
321,-30.10,1,17,321
322,-30.10,1,17,322
323,-30.10,1,17,323
324,-30.10,1,17,324
325,-30.10,1,17,325
326,-30.10,1,17,326
327,-30.10,1,17,327
328,-30.10,1,17,328
329,-30.10,1,17,329
330,-30.10,1,17,330
331,-30.10,1,17,331
332,-30.10,1,17,332
333,-30.10,1,17,333
334,-30.10,1,17,334
335,-30.10,1,17,335
336,-30.10,1,17,336
337,-30.10,1,17,337
338,-30.10,1,17,338
339,-30.10,1,17,339
340,-30.10,1,17,340
341,-30.10,1,17,341
342,-30.10,1,17,342
343,-30.10,1,17,343
344,-30.10,1,17,344
345,-30.10,1,17,345
346,-30.10,1,17,346
347,-30.10,1,17,347
348,-30.10,1,17,348
349,-30.10,1,17,349
350,-30.10,1,17,350
351,-30.10,1,17,351
352,-30.10,1,17,352
353,-30.10,1,17,353
354,-30.10,1,17,354
355,-30.10,1,17,355
356,-30.10,1,17,356
357,-30.10,1,17,357
358,-30.10,1,17,358
359,-30.10,1,17,359
360,-30.10,1,17,360
361,-30.10,1,17,361
362,-30.10,1,17,362
363,-30.10,1,17,363
364,-30.10,1,17,364
365,-30.10,1,17,365
366,-30.10,1,17,366
367,-30.10,1,17,367
368,-30.10,1,17,368
369,-30.10,1,17,369
370,-30.10,1,17,370
371,-30.10,1,17,371
372,-30.10,1,17,372
373,-30.10,1,17,373
374,-30.10,1,17,374
375,-30.10,1,17,375
376,-30.10,1,17,376
377,-30.10,1,17,377
378,-30.10,1,17,378
379,-30.10,1,17,379
380,-30.10,1,17,380
381,-30.10,1,17,381
382,-30.10,1,17,382
383,-30.10,1,17,383
384,-30.10,1,17,384
385,-30.10,1,17,385
386,-30.10,1,17,386
387,-30.10,1,17,387
388,-30.10,1,17,388
389,-30.10,1,17,389
390,-30.10,1,17,390
391,-30.10,1,17,391
392,-30.10,1,17,392
393,-30.10,1,17,393
394,-30.10,1,17,394
395,-30.10,1,17,395
396,-30.10,1,17,396
397,-30.10,1,17,397
398,-30.10,1,17,398
399,-30.10,1,17,399
400,-30.10,1,17,400
401,-30.10,1,17,401
402,-30.10,1,17,402
403,-30.10,1,17,403
404,-30.10,1,17,404
405,-30.10,1,17,405
406,-30.10,1,17,406
407,-30.10,1,17,407
408,-30.10,1,17,408
409,-30.10,1,17,409
410,-30.10,1,17,410
411,-30.10,1,17,411
412,-30.10,1,17,412
413,-30.10,1,17,413
414,-30.10,1,17,414
415,-30.10,1,17,415
416,-30.10,1,17,416
417,-30.10,1,17,417
418,-20.10,1,18,418
419,-20.10,1,18,419
420,-20.10,1,18,420
421,-30.10,1,18,421
422,-30.10,1,18,422
423,-30.10,1,18,423
424,-30.10,1,18,424
425,-30.10,1,18,425
426,-30.10,1,18,426
427,-30.10,1,18,427
428,-30.10,1,18,428
429,-30.10,1,18,429
430,-30.10,1,18,430
431,-30.10,1,18,431
432,-30.10,1,18,432
433,-30.10,1,18,433
434,-30.10,1,18,434
435,-30.10,1,18,435
436,-30.10,1,18,436
437,-30.10,1,18,437
438,-30.10,1,18,438
439,-30.10,1,18,439
