episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,collision_count,out_of_range_count,scan_efficiency
1,-30.10,1,4,1,5.13,2026-01-29 13:19:23,0,0,0.78
2,-30.10,1,4,2,5.18,2026-01-29 13:19:23,0,0,0.77
3,-30.10,1,4,3,5.24,2026-01-29 13:19:23,0,0,0.76
4,-30.10,1,4,4,5.30,2026-01-29 13:19:24,0,0,0.76
5,-30.10,1,4,5,5.36,2026-01-29 13:19:24,0,0,0.75
6,-30.10,1,4,6,5.41,2026-01-29 13:19:24,0,0,0.74
7,-30.10,1,4,7,5.47,2026-01-29 13:19:24,0,0,0.73
8,-30.10,1,4,8,5.53,2026-01-29 13:19:24,0,0,0.72
9,-30.10,1,4,9,5.59,2026-01-29 13:19:24,0,0,0.72
10,-30.10,1,4,10,5.66,2026-01-29 13:19:24,0,0,0.71
11,-30.10,1,4,11,5.72,2026-01-29 13:19:24,0,0,0.70
12,-30.10,1,4,12,5.78,2026-01-29 13:19:24,0,0,0.69
13,-30.10,1,4,13,5.83,2026-01-29 13:19:24,0,0,0.69
14,-30.10,1,4,14,5.90,2026-01-29 13:19:24,0,0,0.68
15,-30.10,1,4,15,5.95,2026-01-29 13:19:24,0,0,0.67
16,-30.10,1,4,16,6.01,2026-01-29 13:19:24,0,0,0.67
17,-30.10,1,4,17,6.07,2026-01-29 13:19:24,0,0,0.66
18,-30.10,1,4,18,6.13,2026-01-29 13:19:24,0,0,0.65
19,-30.10,1,4,19,6.18,2026-01-29 13:19:24,0,0,0.65
20,-30.10,1,4,20,6.24,2026-01-29 13:19:25,0,0,0.64
21,-30.10,1,4,21,6.31,2026-01-29 13:19:25,0,0,0.63
22,-20.10,1,5,22,6.37,2026-01-29 13:19:25,0,0,0.79
23,-20.10,1,5,23,6.43,2026-01-29 13:19:25,0,0,0.78
24,-20.10,1,5,24,6.48,2026-01-29 13:19:25,0,0,0.77
25,-30.10,1,5,25,6.55,2026-01-29 13:19:25,0,0,0.76
26,-30.10,1,5,26,6.60,2026-01-29 13:19:25,0,0,0.76
27,-30.10,1,5,27,6.66,2026-01-29 13:19:25,0,0,0.75
28,-30.10,1,5,28,6.72,2026-01-29 13:19:25,0,0,0.74
29,-30.10,1,5,29,6.78,2026-01-29 13:19:25,0,0,0.74
30,-30.10,1,5,30,6.84,2026-01-29 13:19:25,0,0,0.73
31,-30.10,1,5,31,6.90,2026-01-29 13:19:25,0,0,0.72
32,-30.10,1,5,32,6.96,2026-01-29 13:19:25,0,0,0.72
33,-30.10,1,5,33,7.02,2026-01-29 13:19:25,0,0,0.71
34,-30.10,1,5,34,7.08,2026-01-29 13:19:25,0,0,0.71
35,-20.10,1,6,35,7.14,2026-01-29 13:19:25,0,0,0.84
36,-20.10,1,6,36,7.20,2026-01-29 13:19:25,0,0,0.83
37,-20.10,1,6,37,7.26,2026-01-29 13:19:26,0,0,0.83
38,-30.10,1,6,38,7.31,2026-01-29 13:19:26,0,0,0.82
39,-30.10,1,6,39,7.38,2026-01-29 13:19:26,0,0,0.81
40,-30.10,1,6,40,7.44,2026-01-29 13:19:26,0,0,0.81
41,-30.10,1,6,41,7.49,2026-01-29 13:19:26,0,0,0.80
