timestamp,elapsed_time,scanned_count,unscanned_count,total_count,scan_ratio,repulsion_coefficient,entropy_coefficient,distance_coefficient,leader_range_coefficient,direction_retention_coefficient
2025-11-28 14:51:15,1.00,13,474,487,2.67%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:16,2.01,14,479,493,2.84%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:17,3.01,19,472,491,3.87%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:18,4.01,23,464,487,4.72%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:19,5.02,25,462,487,5.13%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:20,6.02,29,458,487,5.95%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:21,7.03,36,449,485,7.42%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:22,8.04,40,443,483,8.28%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:23,9.04,44,439,483,9.11%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:24,10.04,46,437,483,9.52%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:25,11.04,52,430,482,10.79%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:26,12.05,56,426,482,11.62%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:27,13.06,63,420,483,13.04%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:28,14.07,67,414,481,13.93%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:29,15.07,70,415,485,14.43%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:30,16.07,71,412,483,14.70%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:31,17.07,76,411,487,15.61%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:32,18.08,77,410,487,15.81%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:33,19.08,78,411,489,15.95%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:34,20.09,78,421,499,15.63%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:35,21.09,79,410,489,16.16%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:36,22.10,80,407,487,16.43%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:37,23.10,81,406,487,16.63%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:38,24.10,81,402,483,16.77%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:39,25.11,82,403,485,16.91%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:40,26.11,83,398,481,17.26%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:41,27.12,82,399,481,17.05%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:42,28.13,84,398,482,17.43%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:43,29.13,84,398,482,17.43%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:44,30.13,84,397,481,17.46%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:45,31.14,84,399,483,17.39%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:46,32.14,80,405,485,16.49%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:47,33.15,77,408,485,15.88%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:48,34.16,74,413,487,15.20%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:49,35.16,70,417,487,14.37%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:50,36.17,68,419,487,13.96%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:51,37.17,66,433,499,13.23%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:52,38.18,64,425,489,13.09%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:53,39.18,59,428,487,12.11%,4.0,2.0,2.0,2.0,2.0
2025-11-28 14:51:54,40.19,57,430,487,11.70%,4.0,2.0,2.0,2.0,2.0
